circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,180,180.0,70977.0,678.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,31.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,161,161.0,49057.0,216.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,9855.0,50.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,9239.0,79.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,452.0,12.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,138,138.0,68190.0,443.29
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,58182.0,521.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,570.0,9.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,81,81.0,32563.0,439.45
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
