circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,155,154.0,39898.0,320.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,163,163.0,48120.0,220.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,9204.0,50.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,534.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,,0.0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,138,138.0,56760.0,443.29
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,157,157.0,55766.0,508.46
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,137,130.0,45644.0,495.87
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,193,193.0,49858.0,412.93
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,26.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,10840.0,79.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,179.0,12.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,128684.0,541.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,16.0,3.75
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,180,180.0,54354.0,678.16
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,81,81.0,32711.0,439.45
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,260,257.0,94903.0,958.35
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,10.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,522.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GAYTHRI NAGR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (SOUTH),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,2.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,198,198.0,57827.0,594.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,170,163.0,95154.0,573.52
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,STREET LIGHT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,115,115.0,50724.0,568.09
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,2192.0,30.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,179,179.0,53186.0,515.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LINGAREDDY GUDA (M),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,139.0,7.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MACHAN PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,5.0,726.0,15.48
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MADDUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,3778.0,29.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MAL REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,267.0,10.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MANMARY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1029.0,14.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MARYAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,5.0,349.0,14.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MEERAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,159.0,3.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUDDAM GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1753.0,19.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUKTAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,3.0,454.0,15.7
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NADAR KHAN PET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1839.0,14.98
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV KONDAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,18455.0,120.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,IZZATH NAGAR VG,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,703.0,10.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,JANARDAN HILLS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,1.0,106.0,6.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,JUBILEE GARDEN,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,851.0,6.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,"JVG HILLS,CENTRAL PARK",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1202.0,16.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KONDAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,444.0,6.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KOTHAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,2593.0,12.75
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,MASEED BANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,745.0,7.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAGHAVENDRA CLNY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,231.0,2.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA PARK,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,8.0,524.0,25.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,STL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,265,227.0,84671.0,918.51
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,15 TH PHASE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,196.0,2.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,7TH PHASE CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1879.0,29.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,ANJANEYA  NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,1032.0,6.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,BALAJINAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,11.0,2.25
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,BALAJINAGAR CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,2411.0,30.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,HABEEB NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,142.0,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGAR KUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,981.0,13.63
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGARAO GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,12.0,3404.0,35.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAREDLA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,343.0,8.0
