circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,RAJANAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,169.0,2.0
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,RAJARAM TANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,496.0,3.5
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,RAMTHIRTH,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,572.0,6.75
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,RASOOL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1557.0,7.25
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,SANGAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,225.0,4.25
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,SIDDAHANGRE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1969.0,19.0
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,SUKULTHIRTH,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,111.0,7.25
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,MACHEREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,123.0,24.2
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,MADDIKUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,6045.0,70.3
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,MALAPAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,456.0,13.65
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,MELGIRIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1989.0,20.75
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,MUBARAKPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,11.0,1156.0,35.7
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,NAGULPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,1098.0,8.95
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,NIZAMPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,2027.0,56.7
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,POTTIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,2052.0,22.45
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,SURARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,2031.0,36.4
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,THANGADPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,3669.0,32.3
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,TIMANNAGUDEM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,255.0,12.7
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,SURYANAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,98.0,0.5
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,TADKAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,25,24.0,22579.0,52.5
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,TURKAWADAGAON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,2022.0,18.0
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,WALYNAIK THANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,11.0,0.5
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,WANGADAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,2751.0,14.25
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,WASAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,1744.0,14.25
SANGAREDDY,JOGIPET,NARAYANKHED,KANGTI,YENKEMORE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,344.0,1.0
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,ATTMADYAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,879.0,4.25
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,AUDATHPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,1351.0,13.75
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,BADALGAOM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,1173.0,7.25
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,BELLAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,699.0,14.0
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,BORONCHA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,10.0,434.0,115.75
SANGAREDDY,JOGIPET,NARAYANKHED,MANOOR,DAMARGIDDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,1371.0,13.0
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,VELTOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,1375.0,30.95
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,VENKATAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,3569.0,37.45
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,YELLARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,2866.0,38.4
SANGAREDDY,SANGAREDDY,SADASIVPET,SADASIVPET RURAL,YETIGADDASANGAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,6012.0,123.5
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,HOUSING BOARD PH-I,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,30,30.0,16319.0,85.1
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,HOUSING BOARD PH-II,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,9276.0,42.7
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,ISMAILKHANPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,9726.0,51.21
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,KOTHLAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,20,18.0,11049.0,40.7
