circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,261,258.0,86489.0,963.35
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GHMC SERVICES,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,5067.0,24.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,203,203.0,56615.0,585.53
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,10063.0,79.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,260.0,12.75
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,STREET LIGHT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,116,113.0,55827.0,603.09
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,2485.0,16.25
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,186.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,58541.0,541.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,663.0,9.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,175,175.0,43535.0,507.0
