circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,PIPRI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,247.0,6.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,POTHANPALL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,238.0,7.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,POTHUNAGPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,821.0,13.5
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,RAIKAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,25,25.0,4125.0,36.25
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,RUDRARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,16.0,2645.0,20.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,SANJEEVANRAOPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,3582.0,36.5
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,SATYAGAON,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,806.0,11.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,SEETARAM TANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,142.0,4.75
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,TURKAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,2508.0,23.75
SANGAREDDY,PATANCHERU,GUMMADIDALA,GADDAPOTHARAM,MAMBAPUR (HV),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,823.0,1.0
SANGAREDDY,PATANCHERU,GUMMADIDALA,JINNARAM,ALI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,8101.0,13.75
SANGAREDDY,PATANCHERU,GUMMADIDALA,JINNARAM,AMDOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,5161.0,19.0
SANGAREDDY,PATANCHERU,GUMMADIDALA,JINNARAM,ANNARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,42,42.0,70148.0,332.25
SANGAREDDY,PATANCHERU,GUMMADIDALA,JINNARAM,CHATLA POTHARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,16.0,19492.0,45.5
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,NEW MIG-2(3000-3650),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,3490.0,10.0
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,NEW-MIG -II(3651-4300),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,5.0
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,OLD -MIG -1 -600,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,291.0,4.0
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,OSMANAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,9096.0,38.13
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,TELLAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,8.0,4.0
SANGAREDDY,PATANCHERU,RC PURAM,M.I.G.,TELLAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,71,71.0,45656.0,211.74
SANGAREDDY,PATANCHERU,RC PURAM,R.C.PURAM,H.I.G,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,1039.0,18.0
SANGAREDDY,PATANCHERU,RC PURAM,R.C.PURAM,HV RCP ,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,217,217.0,65372.0,750.18
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,ABENDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,26,26.0,3397.0,30.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,ALLAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,74.0,2.5
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,ANANTHSAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,4870.0,10.5
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,ANTHWAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,305.0,4.0
